DATE,CPIFABSL
2001-02-01,171.700
2001-03-01,172.200
2001-04-01,172.600
2001-05-01,172.900
2001-06-01,173.500
2001-07-01,174.100
2001-08-01,174.500
2001-09-01,174.700
2001-10-01,175.300
2001-11-01,175.400
2001-12-01,175.200
2002-01-01,175.800
2002-02-01,176.200
2002-03-01,176.600
2002-04-01,176.900
2002-05-01,176.400
2002-06-01,176.500
2002-07-01,176.700
2002-08-01,176.700
2002-09-01,177.000
2002-10-01,177.000
2002-11-01,177.500
2002-12-01,177.700
2003-01-01,177.700
2003-02-01,178.700
2003-03-01,179.000
2003-04-01,179.100
2003-05-01,179.400
2003-06-01,180.300
2003-07-01,180.400
2003-08-01,181.100
2003-09-01,181.500
2003-10-01,182.200
2003-11-01,183.100
2003-12-01,184.000
2004-01-01,183.900
2004-02-01,184.300
2004-03-01,184.700
2004-04-01,185.100
2004-05-01,186.500
2004-06-01,186.900
2004-07-01,187.300
2004-08-01,187.500
2004-09-01,187.400
2004-10-01,188.300
2004-11-01,188.900
2004-12-01,188.900
2005-01-01,189.100
2005-02-01,189.200
2005-03-01,189.600
2005-04-01,190.800
2005-05-01,191.000
2005-06-01,191.000
2005-07-01,191.400
2005-08-01,191.500
2005-09-01,191.900
2005-10-01,192.400
2005-11-01,193.000
2005-12-01,193.300
2006-01-01,194.100
2006-02-01,194.200
2006-03-01,194.400
2006-04-01,194.300
2006-05-01,194.700
2006-06-01,195.300
2006-07-01,195.700
2006-08-01,196.200
2006-09-01,196.800
2006-10-01,197.400
2006-11-01,197.400
2006-12-01,197.500
2007-01-01,198.813
2007-02-01,200.126
2007-03-01,200.853
2007-04-01,201.392
2007-05-01,202.157
2007-06-01,202.977
2007-07-01,203.640
2007-08-01,204.418
2007-09-01,205.347
2007-10-01,205.988
2007-11-01,206.789
2007-12-01,207.141
2008-01-01,208.392
2008-02-01,209.183
2008-03-01,209.595
2008-04-01,211.368
2008-05-01,212.204
2008-06-01,213.452
2008-07-01,215.449
2008-08-01,216.530
2008-09-01,217.749
2008-10-01,218.632
2008-11-01,219.079
2008-12-01,219.151
2009-01-01,219.323
2009-02-01,219.058
2009-03-01,218.682
2009-04-01,218.372
2009-05-01,218.053
2009-06-01,218.092
2009-07-01,217.725
2009-08-01,217.738
2009-09-01,217.664
2009-10-01,217.881
2009-11-01,218.055
2009-12-01,218.341
2010-01-01,218.855
2010-02-01,218.898
2010-03-01,219.321
2010-04-01,219.531
2010-05-01,219.651
2010-06-01,219.627
2010-07-01,219.643
2010-08-01,219.879
2010-09-01,220.598
2010-10-01,220.911
2010-11-01,221.315
2010-12-01,221.556
2011-01-01,222.735
2011-02-01,223.734
2011-03-01,225.337
2011-04-01,226.180
2011-05-01,227.045
2011-06-01,227.603
2011-07-01,228.473
2011-08-01,229.577
2011-09-01,230.561
2011-10-01,230.776
2011-11-01,230.976
2011-12-01,231.392
2012-01-01,232.131
2012-02-01,232.103
2012-03-01,232.502
2012-04-01,232.934
2012-05-01,233.127
2012-06-01,233.624
2012-07-01,233.752
2012-08-01,234.108
2012-09-01,234.286
2012-10-01,234.694
2012-11-01,235.100
2012-12-01,235.521
2013-01-01,235.860
2013-02-01,235.903
2013-03-01,236.130
2013-04-01,236.574
2013-05-01,236.387
2013-06-01,236.912
2013-07-01,237.133
2013-08-01,237.407
2013-09-01,237.464
2013-10-01,237.693
2013-11-01,237.895
2013-12-01,238.133
2014-01-01,238.417
2014-02-01,239.247
2014-03-01,240.240
2014-04-01,240.995
2014-05-01,242.107
2014-06-01,242.345
2014-07-01,242.883
2014-08-01,243.505
2014-09-01,244.148
2014-10-01,244.500
2014-11-01,245.106
2014-12-01,245.840
2015-01-01,245.764
2015-02-01,246.056
2015-03-01,245.685
2015-04-01,245.615
2015-05-01,245.886
2015-06-01,246.511
2015-07-01,246.733
